Love & Friendship (2016) ,6.5
The Love Witch (2016) ,6.2
Loving (2016) ,7.0
A Haunting in Connecticut (2002) ,7.0
Me Before You (2016) ,7.4
Mike and Dave Need Wedding Dates (2016) ,6.0
Miss Peregrine's Home for Peculiar Children (2016) ,6.7
Miss Sloane (2016) ,7.5
Moana (2016) ,7.6
Money Monster (2016) ,6.5
Monster High: Welcome to Monster High (2016) ,5.7
Morgan (2016) ,5.8
Mother's Day (2016) ,5.6
Mr. Church (2016) ,7.6
My Life as a Zucchini (2016) ,7.8
My Little Pony: Equestria Girls - Legend of Everfree (2016) ,6.5
Neighbors 2: Sorority Rising (2016) ,5.7
The Neon Demon (2016) ,6.2
Nerve (2016) ,6.6
The Nice Guys (2016) ,7.4
Nocturnal Animals (2016) ,7.5
Norm of the North (2016) ,3.6
Nowhere Boys: The Book of Shadows (2016) ,5.0
Office Christmas Party (2016) ,5.8
Other People (2016) ,6.7
Ouija: Origin of Evil (2016) ,6.1
Personal Shopper (2016) ,6.2
Pete's Dragon (2016) ,6.7
Peterburg. Tolko po lyubvi (2016) ,5.9
Pink (2016) ,8.2
Planetarium (2016) ,4.7
Prevenge (2016) ,6.0
Pride and Prejudice and Zombies (2016) ,5.8
The Purge: Election Year (2016) ,6.0
Queen of Katwe (2016) ,7.4
Raising the Bar (2016) ,5.9
Ratchet & Clank (2016) ,5.6
Grave (2016) ,7.0
The Red Pill (2016) ,8.5
Resident Evil: The Final Chapter (2016) ,5.6
The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016) ,4.3
Rogue One (2016) ,7.8
Rustom (2016) ,7.1
Sausage Party (2016) ,6.2
The Shallows (2016) ,6.3
Sing (2016) ,7.1
Spa Night (2016) ,5.8
Spidarlings (2016) ,7.9
Split (2016) ,7.3
Stranger Things             ,8.9
Suicide Squad (2016) ,6.1
Tallulah (2016) ,6.7
Teenage Mutant Ninja Turtles: Out of the Shadows (2016) ,6.0
Their Finest (2016) ,6.8
Toni Erdmann (2016) ,7.5
Triple 9 (2016) ,6.3
Trolls (2016) ,6.5
Un homme à la hauteur (2016) ,6.3
Under the Shadow (2016) ,6.9
The Untamed (2016) ,6.3
Varoonegi (2016) ,6.3
The Void (2016) ,5.8
Voltron             ,8.4
War Dogs (2016) ,7.1
War on Everyone (2016) ,5.8
Warcraft (2016) ,6.9
Whiskey Tango Foxtrot (2016) ,6.6
X-Men: Apocalypse (2016) ,7.0
The Young Offenders (2016) ,7.1
Zootopia (2016) ,8.0
The 33 (2015) ,6.9
The3Tails Movie: A Mermaid Adventure (2015) ,3.3
45 Years (2015) ,7.1
7 Letters (2015) ,7.9
A Country Called Home (2015) ,6.0
A Little Chaos (2014) ,6.5
A Royal Night Out (2015) ,6.5
A Sort of Homecoming (2015) ,6.5
Advantageous (2015) ,6.3
After the Ball (2015) ,5.9
AfterDeath (2015) ,4.0
The Age of Adaline (2015) ,7.2
Aloha (2015) ,5.4
Angry Indian Goddesses (2015) ,6.9
Anguish (2015) ,4.5
Anna Unbound (2015) ,7.3
Ava's Possessions (2015) ,5.6
Avengers: Age of Ultron (2015) ,7.4
Avril et le monde truqué (2015) ,7.4
Bad Hair Day (2015) ,6.2
Barely Lethal (2015) ,5.4
Bitva za Sevastopol (2015) ,7.2
Battledream Chronicle (2015) ,6.3
Bessie (2015) ,6.6
Birigyaru (2015) ,7.4
The Blackcoat's Daughter (2015) ,5.8
Boi Neon (2015) ,6.9
Bound (2015) ,3.5
The Bronze (2015) ,6.0
Brooklyn (2015) ,7.5
Burn Burn Burn (2015) ,7.0
By the Sea (2015) ,5.3
Captive (2015) ,5.4
Carol (2015) ,7.2
Hana to Arisu satsujin jiken (2015) ,7.2
Chi-Raq (2015) ,5.7
Cinderella (2015) ,6.9
Colonia (2015) ,7.1
Crimson Peak (2015) ,6.5
The Danish Girl (2015) ,7.1
Descendants (2015) ,6.4
The Diary of a Teenage Girl (2015) ,6.9
Do You Believe? (2015) ,6.1
Dofus - Livre 1: Julith (2015) ,7.5
Dolly Parton's Coat of Many Colors (2015) ,8.0
Dora oder Die sexuellen Neurosen unserer Eltern (2015) ,6.2
The Dressmaker (2015) ,7.1
The DUFF (2015) ,6.5
The Duke of Burgundy (2014) ,6.6
Emelie (2015) ,5.4
Equals (2015) ,6.0
Eye in the Sky (2015) ,7.3
The Family Fang (2015) ,6.1
Far from the Madding Crowd (2015) ,7.1
Fathers & Daughters (2015) ,7.1
Freeheld (2015) ,6.5
Fifty Shades of Grey (2015) ,4.1
The Final Girls (2015) ,6.6
Frau Müller muss weg! (2015) ,6.2
Full Out (2015) ,6.5
Furious 7 (2015) ,7.2
Ghosthunters: On Icy Trails (2015) ,5.6
The Girl King (2015) ,5.9
Pojkarna (2015) ,6.1
The Good Dinosaur (2015) ,6.7
Grandma (2015) ,6.7
The Green Inferno (2013) ,5.3
Green Room (2015) ,7.0
Halal Love (2015) ,6.5
Harbinger Down (2015) ,4.5
Harter Brocken (2015) ,6.7
The Hateful Eight (2015) ,7.8
Hedi Schneider steckt fest (2015) ,6.4
"Hello, My Name Is Doris (2015) ",6.6
Hidden (2015) ,6.4
The Hollow (2015) ,3.6
Home (2015) ,6.7
Hotel Transylvania 2 (2015) ,6.7
The Hunger Games: Mockingjay - Part 2 (2015) ,6.5
I'll See You in My Dreams (2015) ,6.7
Tale of Tales (2015) ,6.4
Inside Out (2015) ,8.2
Insidious: Chapter 3 (2015) ,6.1
Insurgent (2015) ,6.2
The Intern (2015) ,7.1
Into the Forest (2015) ,5.9
Intruders (2015) ,5.7
Invisible Sister (2015) ,6.3
Je suis un soldat (2015) ,5.8
Jem and the Holograms (2015) ,4.1
Jessica Jones             ,8.1
Joy (2015) ,6.6
Jupiter Ascending (2015) ,5.3
Jurassic World (2015) ,7.0
Justice League: Throne of Atlantis (2015) ,6.7
Krampus (2015) ,6.2
L'antiquaire (2015) ,6.2
L'attesa (2015) ,6.5
La belle saison (2015) ,6.6
La passion d'Augustine (2015) ,7.3
The Lady in the Van (2015) ,6.7
The Last Witch Hunter (2015) ,6.0
Lavalantula (2015) ,4.6
The Lazarus Effect (2015) ,5.2
Legend (2015) ,7.0
Les ogres (2015) ,7.1
Life (2015) ,6.0
Ng goh siu hai dik hau jeung (2015) ,7.3
Le Petit Prince (2015) ,7.8
"Liza, a rókatündér (2015) ",7.7
The Lobster (2015) ,7.1
The Longest Ride (2015) ,7.1
Love the Coopers (2015) ,5.7
Mad Max: Fury Road (2015) ,8.1
Maggie's Plan (2015) ,6.2
Magic Mike XXL (2015) ,5.6
The Man from U.N.C.L.E. (2015) ,7.3
Man Up (2015) ,6.8
Marguerite (2015) ,7.0
The Martian (2015) ,8.0
Max (2015) ,6.8
Maze Runner: The Scorch Trials (2015) ,6.3
Me and Earl and the Dying Girl (2015) ,7.8
Meadowland (2015) ,5.8
The Meddler (2015) ,6.3
Min lilla syster (2015) ,6.8
Minions (2015) ,6.4
Miss You Already (2015) ,6.8
Mistress America (2015) ,6.7
Mustang (2015) ,7.6
My Little Pony: Equestria Girls - Friendship Games (2015) ,6.7
Mythica: The Darkspore (2015) ,5.9
Nil Battey Sannata (2015) ,8.5
Office (2015) ,6.1
Other Halves (2015) ,3.4
Our Little Sister (2015) ,7.5
The Overnight (2015) ,6.1
Parched (2015) ,7.6
The Peanuts Movie (2015) ,7.1
Pitch Perfect 2 (2015) ,6.4
Que Horas Ela Volta? (2015) ,7.8
Queen of Earth (2015) ,6.3
Riaru onigokko (2015) ,6.2
Ricki and the Flash (2015) ,6.0
Room (2015) ,8.2
San Andreas (2015) ,6.1
The Second Best Exotic Marigold Hotel (2015) ,6.6
Septembers of Shiraz (2015) ,6.0
The Sin Seer (2015) ,3.6
Sisters (2015) ,6.0
Sleeping with Other People (2015) ,6.5
Slow Learners (2015) ,5.8
Spy (2015) ,7.0
Star Wars: The Force Awakens (2015) ,8.0
The Steps (2015) ,6.0
Steve Jobs (2015) ,7.2
Strange Magic (2015) ,5.8
Suffragette (2015) ,6.9
Sangailes vasara (2015) ,6.3
Sunset Song (2015) ,6.5
Survivor (2015) ,5.6
Sweet Bean (2015) ,7.3
Tangerine (2015) ,7.1
Taxi (2015) ,7.4
Teen Beach 2 (2015) ,6.3
Testament of Youth (2014) ,7.3
This Changes Everything (2015) ,6.5
The Three Es (2015) ,7.9
Sado (2015) ,7.2
Tiger House (2015) ,5.2
Till We Meet Again (2016) ,5.9
Timelike (2015) ,6.0
Tjuvheder (2015) ,7.1
Tomorrowland (2015) ,6.5
Trainwreck (2015) ,6.2
The Transporter Refueled (2015) ,5.2
Trumbo (2015) ,7.5
Trust Fund (2017) ,6.5
"Un peu, beaucoup, aveuglément! (2015) ",6.6
Unexpected (2015) ,5.7
Until Dawn (2015) ,9.0
Vacation (2015) ,6.1
Vice (2015) ,4.2
The Visit (2015) ,6.2
The VVitch: A New-England Folktale (2015) ,6.8
Bølgen (2015) ,6.7
The Wedding Ringer (2015) ,6.7
Woman in Gold (2015) ,7.3
World of Tomorrow (2015) ,8.2
3 Days to Kill (2014) ,6.2
5 Flights Up (2014) ,6.2
A Girl Walks Home Alone at Night (2014) ,7.0
A Long Way Down (2014) ,6.4
A Most Violent Year (2014) ,7.0
A Noite da Virada (2014) ,4.6
About a Girl (2014) ,6.6
The Quiche of Death             ,6.9
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014) ",6.2
Alles inklusive (2014) ,5.7
Aloft (2014) ,5.3
Anatomy of a Love Seen (2014) ,4.8
Angry Video Game Nerd: The Movie (2014) ,5.7
Annabelle (2014) ,5.4
Annie (2014) ,5.3
Appropriate Behavior (2014) ,6.6
"As Above, So Below (2014) ",6.2
Asian School Girls (2014) ,3.4
Ask Me Anything (2014) ,6.1
Atlas Shrugged: Who Is John Galt? (2014) ,4.4
Avis de mistral (2014) ,6.6
The Babadook (2014) ,6.8
Barbie and the Secret Door (2014) ,5.8
Barbie: The Pearl Princess (2014) ,6.4
Barefoot (2014) ,6.6
Batman: Assault on Arkham (2014) ,7.5
Before I Go to Sleep (2014) ,6.3
Before We Go (2014) ,6.8
Begin Again (2013) ,7.4
Belle (2013) ,7.4
Beyond the Lights (2014) ,6.9
Big Eyes (2014) ,7.0
Big Hero 6 (2014) ,7.8
Birdman or (The Unexpected Virtue of Ignorance) (2014) ,7.8
Blended (2014) ,6.5
The Book of Life (2014) ,7.3
Boy Meets Girl (2014) ,7.1
Boyhood (2014) ,7.9
Brick Mansions (2014) ,5.7
Cake (2014) ,6.4
Camp Takota (2014) ,6.9
Captain America: The Winter Soldier (2014) ,7.8
Cesar Chavez (2014) ,6.4
Clouds of Sils Maria (2014) ,6.7
Clown (2014) ,5.7
Cut Bank (2014) ,6.0
Da Sweet Blood of Jesus (2014) ,4.1
Dead Girls (2014) ,3.5
Død snø 2 (2014) ,6.9
Dear White People (2014) ,6.2
Der kleine Medicus - Geheimnisvolle Mission im Körper (2014) ,7.4
The Disappearance of Eleanor Rigby: Her (2013) ,7.0
The Disappearance of Eleanor Rigby: Them (2014) ,6.3
Divergent (2014) ,6.7
Dohee-ya (2014) ,7.0
Dyke Hard (2014) ,4.9
East Side Sushi (2014) ,7.1
Eat with Me (2014) ,6.5
Effie Gray (2014) ,5.9
Ein Geschenk der Götter (2014) ,6.8
Electricity (2014) ,6.1
Every Secret Thing (2014) ,6.1
The Falling (2014) ,5.4
The Fault in Our Stars (2014) ,7.8
Faults (2014) ,6.7
Fehér isten (2014) ,6.9
Fields of the Dead (2014) ,2.5
Flowers in the Attic (2014) ,6.1
The Frame (2014) ,6.7
Bande de filles (2014) ,6.9
Girltrash: All Night Long (2014) ,6.5
The Giver (2014) ,6.5
God Help the Girl (2014) ,6.4
God's Not Dead (2014) ,4.8
Gone Girl (2014) ,8.1
The Good Lie (2014) ,7.4
Good People (2014) ,5.5
Gotham             ,7.9
Grace of Monaco (2014) ,5.7
Guardians of the Galaxy (2014) ,8.1
Happy Christmas (2014) ,5.5
Hits (2014) ,5.8
Hoje Eu Quero Voltar Sozinho (2014) ,8.0
Housebound (2014) ,6.8
Gae-leul hoom-chi-neun wan-byeok-han bang-beob (2014) ,7.0
The Hundred-Foot Journey (2014) ,7.3
